id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,Losser,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3
355,2013,Chennai,4/25/2013,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,normal,0,Chennai Super Kings,Sunrisers Hyderabad,0,5,MS Dhoni,MA Chidambaram Stadium,Aleem Dar,S Das,
356,2013,Kolkata,4/26/2013,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,bat,normal,0,Kolkata Knight Riders,Kings XI Punjab,0,6,JH Kallis,Eden Gardens,CK Nandan,S Ravi,
357,2013,Jaipur,4/27/2013,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,normal,0,Rajasthan Royals,Sunrisers Hyderabad,0,8,JP Faulkner,Sawai Mansingh Stadium,VA Kulkarni,K Srinath,
358,2013,Mumbai,4/27/2013,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,normal,0,Mumbai Indians,Royal Challengers Bangalore,58,0,DR Smith,Wankhede Stadium,Asad Rauf,S Asnani,
359,2013,Chennai,4/28/2013,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Chennai Super Kings,Kolkata Knight Riders,14,0,MEK Hussey,MA Chidambaram Stadium,Aleem Dar,SJA Taufel,
360,2013,Raipur,4/28/2013,Delhi Daredevils,Pune Warriors,Pune Warriors,field,normal,0,Delhi Daredevils,Pune Warriors,15,0,DA Warner,Shaheed Veer Narayan Singh International Stadium,CK Nandan,S Ravi,
361,2013,Jaipur,4/29/2013,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,Royal Challengers Bangalore,0,4,SV Samson,Sawai Mansingh Stadium,M Erasmus,K Srinath,
362,2013,Mumbai,4/29/2013,Mumbai Indians,Kings XI Punjab,Mumbai Indians,bat,normal,0,Mumbai Indians,Kings XI Punjab,4,0,RG Sharma,Wankhede Stadium,Asad Rauf,AK Chaudhary,
363,2013,Pune,4/30/2013,Chennai Super Kings,Pune Warriors,Chennai Super Kings,bat,normal,0,Chennai Super Kings,Pune Warriors,37,0,MS Dhoni,Subrata Roy Sahara Stadium,S Das,SJA Taufel,
364,2013,Hyderabad,05-01-2013,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,normal,0,Sunrisers Hyderabad,Mumbai Indians,0,7,I Sharma,Rajiv Gandhi International Stadium,Asad Rauf,S Asnani,
365,2013,Raipur,05-01-2013,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,normal,0,Delhi Daredevils,Kolkata Knight Riders,0,7,DA Warner,Shaheed Veer Narayan Singh International Stadium,HDPK Dharmasena,CK Nandan,
366,2013,Chennai,05-02-2013,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,normal,0,Chennai Super Kings,Kings XI Punjab,15,0,SK Raina,MA Chidambaram Stadium,M Erasmus,VA Kulkarni,
367,2013,Pune,05-02-2013,Royal Challengers Bangalore,Pune Warriors,Royal Challengers Bangalore,bat,normal,0,Royal Challengers Bangalore,Pune Warriors,17,0,AB de Villiers,Subrata Roy Sahara Stadium,Aleem Dar,C Shamshuddin,
368,2013,Kolkata,05-03-2013,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,normal,0,Kolkata Knight Riders,Rajasthan Royals,0,8,YK Pathan,Eden Gardens,HDPK Dharmasena,CK Nandan,
369,2013,Hyderabad,05-04-2013,Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,bat,normal,0,Sunrisers Hyderabad,Delhi Daredevils,0,6,DJG Sammy,Rajiv Gandhi International Stadium,Asad Rauf,S Asnani,
370,2013,Mumbai,05-05-2013,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,normal,0,Mumbai Indians,Chennai Super Kings,60,0,MG Johnson,Wankhede Stadium,HDPK Dharmasena,CK Nandan,
371,2013,Jaipur,05-05-2013,Pune Warriors,Rajasthan Royals,Pune Warriors,bat,normal,0,Rajasthan Royals,Pune Warriors,0,5,AM Rahane,Sawai Mansingh Stadium,C Shamshuddin,RJ Tucker,
372,2013,Chandigarh,05-06-2013,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,normal,0,Kings XI Punjab,Royal Challengers Bangalore,0,6,DA Miller,Punjab Cricket Association Stadium,VA Kulkarni,NJ Llong,
373,2013,Jaipur,05-07-2013,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,normal,0,Rajasthan Royals,Delhi Daredevils,0,9,AM Rahane,Sawai Mansingh Stadium,Aleem Dar,RJ Tucker,
374,2013,Mumbai,05-07-2013,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,normal,0,Mumbai Indians,Kolkata Knight Riders,65,0,SR Tendulkar,Wankhede Stadium,HDPK Dharmasena,S Ravi,
375,2013,Hyderabad,05-08-2013,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Chennai Super Kings,Sunrisers Hyderabad,77,0,SK Raina,Rajiv Gandhi International Stadium,S Das,NJ Llong,
376,2013,Chandigarh,05-09-2013,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,Kings XI Punjab,0,8,KK Cooper,Punjab Cricket Association Stadium,HDPK Dharmasena,S Ravi,
377,2013,Pune,05-09-2013,Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,Pune Warriors,46,0,G Gambhir,Subrata Roy Sahara Stadium,Asad Rauf,S Asnani,
378,2013,Delhi,05-10-2013,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,normal,0,Royal Challengers Bangalore,Delhi Daredevils,4,0,JD Unadkat,Feroz Shah Kotla,NJ Llong,K Srinath,
379,2013,Pune,05-11-2013,Pune Warriors,Mumbai Indians,Pune Warriors,bat,normal,0,Mumbai Indians,Pune Warriors,0,5,MG Johnson,Subrata Roy Sahara Stadium,Asad Rauf,AK Chaudhary,
380,2013,Chandigarh,05-11-2013,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,normal,0,Sunrisers Hyderabad,Kings XI Punjab,30,0,PA Patel,Punjab Cricket Association Stadium,S Das,RJ Tucker,
381,2013,Ranchi,05-12-2013,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,Royal Challengers Bangalore,0,5,JH Kallis,JSCA International Stadium Complex,NJ Llong,K Srinath,
382,2013,Jaipur,05-12-2013,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,Chennai Super Kings,0,5,SR Watson,Sawai Mansingh Stadium,HDPK Dharmasena,CK Nandan,
383,2013,Mumbai,5/13/2013,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,bat,normal,0,Mumbai Indians,Sunrisers Hyderabad,0,7,KA Pollard,Wankhede Stadium,AK Chaudhary,SJA Taufel,
384,2013,Bengaluru,5/14/2013,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,normal,0,Kings XI Punjab,Royal Challengers Bangalore,0,7,AC Gilchrist,M Chinnaswamy Stadium,HDPK Dharmasena,S Ravi,
385,2013,Chennai,5/14/2013,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,normal,0,Chennai Super Kings,Delhi Daredevils,33,0,MS Dhoni,MA Chidambaram Stadium,C Shamshuddin,RJ Tucker,
386,2013,Ranchi,5/15/2013,Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Pune Warriors,Kolkata Knight Riders,7,0,MK Pandey,JSCA International Stadium Complex,NJ Llong,K Srinath,
387,2013,Mumbai,5/15/2013,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,normal,0,Mumbai Indians,Rajasthan Royals,14,0,AP Tare,Wankhede Stadium,Asad Rauf,S Asnani,
